"","Id","Label","name","次数","Weighted.Degree","Authority","Hub","Modularity.Class","PageRank","Component.ID","Clustering.Coefficient","Number.of.triangles","Eigenvector.Centrality","Eccentricity","Closeness.Centrality","Betweenness.Centrality","ave_view","ave_comment","ave_mylist","ave_starttime","ave_length","Points","probability","training"
"1",1,1,"ゲーム",676,2485,"0.03382125","0.03382125",22,0.033811798,0,0.018509752,4223,1,3,1.446280992,253201.5597,18847.21505,684.2330226,150.8601864,"2012/3/27 20:18",792.8508655,21770.56429,0.579637352189704,0
"2",3,3,"ＧＴＡ",9,9,"5.00E-04","5.00E-04",22,0.000557,0,1,36,0.048266719,3,2.410743802,0,37180,889,93,"2010/4/3 23:04",695,39443.29037,0.665942504927294,0
"3",6,6,"ゲッダン",25,25,"0.001298896","0.001298896",21,0.001142756,0,0.446666667,134,0.107852399,3,2.10661157,1123.260316,53279,1269.666667,397.3333333,"2010/1/30 19:33",403,60479.3278,0.826302319088718,0
"4",9,9,"PS3",22,83,"0.001149023","0.001149023",22,0.001203223,0,0.428571429,99,0.081288577,3,2.282644628,209.4742265,5840,113.75,21.79166667,"2011/10/28 5:08",596.0833333,6278.459663,0.749085918681115,0
"5",10,10,"ガンダム戦記",9,100,"5.00E-04","5.00E-04",22,0.000515,0,0.805555556,29,0.059024477,3,2.409917355,1.292857143,4972.785714,181.1785714,10.67857143,"2010/11/6 15:03",474.7857143,5307.787011,0.307114658614942,0
"6",11,11,"SAI",9,9,"5.00E-04","5.00E-04",21,0.000494,0,1,36,0.04932187,3,2.301652893,0,2019,59,31,"2010/5/19 1:30",544,2541.349455,0.249739410279452,0
"7",12,12,"アーダン",10,25,"5.50E-04","5.50E-04",22,0.00058,0,1,45,0.056642903,3,2.409917355,0,9328.333333,231.6666667,48,"2010/5/31 7:57",820,10274.41409,0.856363415087976,0
"8",14,14,"civilization",12,69,"6.49E-04","6.49E-04",22,0.000683,0,0.712121212,47,0.07702953,3,2.175206612,80.68089425,1430.952381,149.1904762,4.571428571,"2011/8/28 9:57",531.1428571,1634.668979,0.0759681451169555,1
"9",15,15,"X.クウ",9,18,"5.00E-04","5.00E-04",22,0.000519,0,1,36,0.06406564,3,2.279338843,0,13157.54897,577.457528,67.86183711,"2011/7/6 10:35",711.5100399,14728.77551,0.226459491567788,0
"10",18,18,"いい最終回だった",13,21,"6.99E-04","6.99E-04",22,0.00073,0,0.679487179,53,0.065241457,3,2.404132231,7.374464817,44038.57143,1377.428571,233.4285714,"2011/3/23 12:15",1313.714286,48875.86596,0.98915194602582,0
"11",19,19,"SofTalk",75,175,"0.003796773","0.003796773",21,0.003256291,0,0.203603604,565,0.206933491,3,2.000826446,5187.689566,10594.43902,160.9268293,194.6341463,"2010/12/17 9:00",251.5365854,13672.51298,0.579637352189704,0
"12",26,26,"civ4",9,59,"5.00E-04","5.00E-04",22,0.000559,0,1,36,0.055744941,3,2.29338843,0,1326.722222,157,4.611111111,"2011/10/28 2:40",520.2222222,1536.32741,0.100468708474036,1
"13",28,28,"Fallout3",10,11,"5.50E-04","5.50E-04",10,0.00056,0,0.888888889,40,0.071593205,3,2.167768595,2.413259109,26247.91667,629.2222222,69.02777778,"2010/11/19 6:49",712.0555556,27897.86254,0.457064851207276,0
"14",30,30,"X.せんしゃのなかにいる.",9,9,"5.00E-04","5.00E-04",22,0.000568,0,1,36,0.047772181,3,2.410743802,0,14464.65279,1522.883619,366.0365903,"2011/7/8 12:10",825.5819971,21336.27072,0.5,0
"15",31,31,"Minecraft",40,105,"0.002048259","0.002048259",22,0.002006816,0,0.279487179,218,0.130591031,3,2.123140496,1057.017141,23411.12143,544.2357143,200.3,"2012/5/13 23:39",681.5357143,26947.59532,0.607741135494931,0
"16",33,33,"X3日後",9,18,"5.00E-04","5.00E-04",22,0.000531,0,1,36,0.058237992,3,2.403305785,0,13016.11213,1447.161905,387.7615867,"2011/7/1 10:45",751.2777462,20138.67888,0.5,0
"17",40,40,"SayKana",9,9,"5.00E-04","5.00E-04",21,0.000483,0,1,36,0.05844955,3,2.275206612,0,48522,1087,1424,"2009/11/11 23:01",228,70945.84696,0.116664516249532,0
"18",44,44,"ニコニコ国内旅行",18,37,"9.49E-04","9.49E-04",4,0.000861,0,0.581699346,89,0.056540235,3,2.563636364,123.9332626,11718.13793,409.3103448,117.862069,"2012/6/30 14:46",756.137931,13881.69775,0.0727497343017366,0
"19",45,45,"ニコニコムービーメーカー",231,1043,"0.011590148","0.011590148",21,0.010237003,0,0.068435912,1818,0.451952171,2,1.809090909,47586.86958,10675.07755,254.5428571,103.3959184,"2010/10/1 7:58",302.7510204,12474.68662,0.579637352189704,0
"20",50,50,"ニコニコ動画講座",45,212,"0.002298047","0.002298047",21,0.001991975,0,0.349494949,346,0.174755592,3,1.984297521,1813.859522,5281.409836,144.6229508,165.6393443,"2011/4/3 6:23",358.5737705,7906.882425,0.579638007350233,0
"21",51,51,"ニコニコ技術部",29,84,"0.001498726","0.001498726",21,0.001316587,0,0.477832512,194,0.128776328,3,2.010743802,742.5462214,6986.6875,346.4375,159.28125,"2011/8/4 7:25",360.625,9706.325006,0.770788276252715,0
"22",56,56,"お菓子作り",10,20,"5.50E-04","5.50E-04",4,0.000519,0,0.933333333,42,0.048105488,3,2.571900826,14.1955601,1506,64,17.66666667,"2010/7/15 3:56",227.6666667,1832.420113,0.0615437069360757,1
"23",58,58,"エンターテイメント",166,862,"0.008342909","0.008342909",9,0.007366056,0,0.092734575,1270,0.335254847,3,1.869421488,31212.42867,6121.141791,123.6393035,29.45522388,"2013/3/2 23:39",335.0174129,6684.173032,0.579637352189704,0
"24",61,61,"イカ",10,10,"5.50E-04","5.50E-04",4,0.000539,0,1,45,0.031681652,3,2.688429752,0,1931,220.3333333,16.66666667,"2012/9/11 16:24",728.6666667,2378.940908,0.0982351921281179,0
"25",65,65,"ＧＷ",10,10,"5.50E-04","5.50E-04",4,0.000542,0,1,45,0.034037563,3,2.653719008,0,805,41,8,"2012/5/11 20:43",424,964.0316159,0.0215439343838032,1
"26",76,76,"Love",10,10,"5.50E-04","5.50E-04",4,0.000598,0,1,45,0.013657525,4,2.880991736,0,366,19,5,"2011/7/21 0:56",280,459.074359,0.100549221678725,1
"27",79,79,"ゆっくり",242,1418,"0.012139682","0.012139682",21,0.010565131,0,0.068276122,1991,0.466907339,2,1.8,56044.5193,6947.790541,191.4617117,64.6036036,"2011/6/8 13:28",355.1306306,8103.2177,0.579637352189704,0
"28",82,82,"COD:MW3",12,17,"6.49E-04","6.49E-04",7,0.000689,0,0.772727273,51,0.066253766,3,2.360330579,64.15167851,2816.5,152,17.5,"2012/3/21 11:48",975,3223.262559,0.453567546494315,0
"29",84,84,"HONDA",10,10,"5.50E-04","5.50E-04",4,0.000568,0,1,45,0.022887805,3,2.73553719,0,593,35.33333333,3,"2012/3/2 11:42",806.3333333,671.3558606,0.146651352203579,1
"30",85,85,"iPhone",10,10,"5.50E-04","5.50E-04",4,0.000547,0,1,45,0.024855578,3,2.734710744,0,3650,98.66666667,42.33333333,"2011/12/14 18:28",468.3333333,4381.098713,0.199567303199499,0
"31",89,89,"Excel",9,9,"5.00E-04","5.00E-04",21,0.000506,0,1,36,0.027148524,4,2.751239669,0,2148,81,58,"2012/3/5 6:17",307,3096.131176,0.311387791303928,0
"32",101,101,"その他",42,116,"0.002148174","0.002148174",21,0.001829512,0,0.286875726,247,0.140466391,3,2.208264463,1093.325437,2664.385714,117.0285714,19.87142857,"2011/9/25 6:29",389.4,3074.596642,0.596218697623706,0
"33",105,105,"DemolitionCompany",9,9,"5.00E-04","5.00E-04",4,0.000589,0,1,36,0.034047805,3,2.384297521,0,127213,4839,397,"2010/10/2 18:24",1028,137830.208,0.434485419816045,1
"34",107,107,"ksk",10,10,"5.50E-04","5.50E-04",4,0.000611,0,1,45,0.035597417,3,2.383471074,0,253408,15001,465,"2010/10/9 13:46",867,274547.0652,0.354552032128506,1
"35",112,112,"てってってー",12,22,"6.49E-04","6.49E-04",21,0.000607,0,0.803030303,53,0.066691075,3,2.260330579,34.46997686,10096.83333,310.5,533,"2010/10/11 21:03",251,18393.52096,0.318404544500719,0
"36",113,113,"PC破壊用BGM",9,9,"5.00E-04","5.00E-04",21,0.000538,0,1,36,0.019776277,3,2.766115702,0,5915,94,13,"2010/3/21 14:01",416,6202.532713,0.864584108452883,0
"37",115,115,"X.BGM推奨",11,13,"5.99E-04","5.99E-04",21,0.00055,0,0.618181818,34,0.059323258,3,2.495041322,15.29677539,34510.03093,1907.527813,225.0737793,"2011/6/20 6:25",669.304253,39694.3641,0.672167633540224,0
"38",121,121,"お前が言うな",16,23,"8.49E-04","8.49E-04",22,0.000783,0,0.608333333,73,0.094764928,3,2.091735537,224.755714,12316.6,473.2,55.6,"2010/10/13 11:52",409.8,13606.36822,0.814382476388818,0
"39",122,122,"haru.",11,23,"5.99E-04","5.99E-04",9,0.000586,0,0.854545455,47,0.037944362,3,2.65785124,17.10830196,33356.33432,1430.479924,146.716812,"2011/6/19 5:58",510.563576,36928.99024,0.130154757127427,0
"40",126,126,"Bitstar",9,41,"5.00E-04","5.00E-04",8,0.000497,0,0.888888889,32,0.029647131,3,2.679338843,1.207775573,376.5714286,13.42857143,12.42857143,"2010/10/5 20:40",187.5714286,575.9804757,0.0787023868716278,1
"41",129,129,"アニメ",40,71,"0.002048259","0.002048259",21,0.001943391,0,0.242307692,189,0.102795721,3,2.356198347,2489.003968,33029,1445.962963,420.3703704,"2010/3/3 9:40",370.3333333,40720.60194,0.580727049149671,0
"42",130,130,"haru",11,22,"5.99E-04","5.99E-04",9,0.000597,0,0.8,44,0.036593677,3,2.65785124,6.784877149,20852,754.3333333,45.66666667,"2010/7/20 18:35",482.6666667,22265.05314,0.237172380834336,0
"43",135,135,"VOCALOID",35,87,"0.001798471","0.001798471",8,0.001642623,0,0.319327731,190,0.087894201,3,2.483471074,995.0002869,1944.045455,83.5,63,"2011/2/26 20:32",257.9090909,2969.210321,0.725420662197599,0
"44",137,137,"カオス",28,34,"0.001448769","0.001448769",1,0.001354077,0,0.346560847,131,0.121626798,3,2.096694215,3319.879141,40624,1275,328.875,"2011/6/9 3:51",580.25,46793.62851,0.579951676054318,0
"45",145,145,"だが俺はレアだぜ",10,20,"5.50E-04","5.50E-04",21,0.000528,0,1,45,0.032428357,3,2.695041322,0,54602,406,132,"2011/2/14 2:10",121,56985.01059,0.552378299870143,0
"46",152,152,"X3.00",9,9,"5.00E-04","5.00E-04",8,0.000505,0,1,36,0.021909483,3,2.765289256,0,1324.695396,1739.859142,400.7511943,"2011/7/12 4:02",664.5085689,8202.274758,0.249177101818941,0
"47",153,153,"lemoN",10,10,"5.50E-04","5.50E-04",22,0.000578,0,1,45,0.058915022,3,2.394214876,0,24221,635,335,"2010/3/13 12:40",564,29864.99329,0.732873209859391,0
"48",154,154,"X2ch",10,10,"5.50E-04","5.50E-04",22,0.000551,0,1,45,0.046111245,3,2.421487603,0,36928.54203,1316.190163,220.3153865,"2011/6/26 21:19",482.1626956,41504.42583,0.303354086448418,0
"49",157,157,"アクション実況part1リンク",4,6,"2.50E-04","2.50E-04",22,0.000297,0,1,6,0.046932646,3,2.414876033,0,42468,756.5,729,"2010/12/24 20:09",861,54146.4796,0.383031876045632,0
"50",158,158,"RPG実況part1リンク",9,9,"5.00E-04","5.00E-04",22,0.000564,0,1,36,0.052885755,3,2.410743802,0,477780,5139,12278,"2010/3/15 21:21",523,667035.6691,0.5,1
"51",165,165,"ＮＥＷスーパーマリオブラザーズＷｉｉ",9,9,"5.00E-04","5.00E-04",3,0.000618,0,1,36,0.046124542,3,2.410743802,0,2018,105,20,"2011/5/6 1:33",794,2417.855343,0.10823902843439,0
"52",166,166,"ELONA",9,9,"5.00E-04","5.00E-04",22,0.000536,0,1,36,0.056637473,3,2.391735537,0,12765.66667,338,158,"2012/3/24 13:15",422.6666667,15465.05207,0.0718270763024549,0
"53",167,167,"SEGA",9,9,"5.00E-04","5.00E-04",22,0.000566,0,1,36,0.052925872,3,2.408264463,0,10388.33333,360,83.33333333,"2012/8/27 13:23",1093.333333,11986.36841,0.790966954319812,0
"54",169,169,"Ib",9,9,"5.00E-04","5.00E-04",22,0.000557,0,1,36,0.053736815,3,2.410743802,0,33128,1711.75,262.5,"2012/10/27 1:35",729,38693.77706,0.365229833631807,0
"55",172,172,"AC?",10,20,"5.50E-04","5.50E-04",14,0.000542,0,1,45,0.062347361,3,2.165289256,0,15474.42857,306.8571429,80,"2011/12/23 16:02",708.4285714,16975.34916,0.195387267138056,0
"56",173,173,"PCゲーム",14,23,"7.49E-04","7.49E-04",22,0.00081,0,0.571428571,52,0.068182193,3,2.358677686,42.57500037,27356.84615,666.3846154,253.5384615,"2011/5/16 0:57",560,31810.60333,0.493801330683034,0
"57",174,174,"ゆっくり実況プレイPart1リンク",160,471,"0.008043163","0.008043163",22,0.007951998,0,0.07327044,932,0.330443417,3,1.919008264,15578.38849,25069.32039,708.4466019,354.8543689,"2011/10/23 12:00",810.8349515,31081.37678,0.579637352189704,0
"58",177,177,"X.勝率.打率",9,9,"5.00E-04","5.00E-04",22,0.000541,0,1,36,0.06311149,3,2.266115702,0,12316.03765,788.3465372,416.568985,"2011/7/11 19:28",703.8455904,19306.95399,0.292044235802889,0
