,Id,Label,name,Degree,Authority,Modularity.Class,PageRank,Clustering.Coefficient,Number.of.triangles,Eigenvector.Centrality,Eccentricity,Closeness.Centrality,Betweenness.Centrality,ave_view,ave_comment,ave_mylist,ave_starttime,ave_length,Points,training,modify_probability
1.0 ,1.0 ,1.0 ,ゲーム,676,0.03382125,22,0.033811798,0.018509752,4223,1,3,1.446280992,253201.5597,18847.21505,684.2330226,150.8601864,2012/3/27 20:18,792.8508655,21770.56429,0,0.511249832
2.0 ,3.0 ,3.0 ,ＧＴＡ,9,5.00E-04,22,0.000557,1,36,0.048266719,3,2.410743802,0,37180,889,93,2010/4/3 23:04,695,39443.29037,0,0.597186871
3.0 ,6.0 ,6.0 ,ゲッダン,25,0.001298896,21,0.001142756,0.446666667,134,0.107852399,3,2.10661157,1123.260316,53279,1269.666667,397.3333333,2010/1/30 19:33,403,60479.3278,0,0.787467336
4.0 ,9.0 ,9.0 ,PS3,22,0.001149023,22,0.001203223,0.428571429,99,0.081288577,3,2.282644628,209.4742265,5840,113.75,21.79166667,2011/10/28 5:08,596.0833333,6278.459663,0,0.71397571
5.0 ,10.0 ,10.0 ,ガンダム戦記,9,5.00E-04,22,0.000515,0.805555556,29,0.059024477,3,2.409917355,1.292857143,4972.785714,181.1785714,10.67857143,2010/11/6 15:03,474.7857143,5307.787011,0,0.252665292
6.0 ,11.0 ,11.0 ,SAI,9,5.00E-04,21,0.000494,1,36,0.04932187,3,2.301652893,0,2019,59,31,2010/5/19 1:30,544,2541.349455,0,0.155886832
7.0 ,12.0 ,12.0 ,アーダン,10,5.50E-04,22,0.00058,1,45,0.056642903,3,2.409917355,0,9328.333333,231.6666667,48,2010/5/31 7:57,820,10274.41409,0,0.810090779
8.0 ,14.0 ,14.0 ,civilization,12,6.49E-04,22,0.000683,0.712121212,47,0.07702953,3,2.175206612,80.68089425,1430.952381,149.1904762,4.571428571,2011/8/28 9:57,531.1428571,1634.668979,1,0
9.0 ,15.0 ,15.0 ,X.クウ,9,5.00E-04,22,0.000519,1,36,0.06406564,3,2.279338843,0,13157.54897,577.457528,67.86183711,2011/7/6 10:35,711.5100399,14728.77551,0,0.155686463
10.0 ,18.0 ,18.0 ,いい最終回だった,13,6.99E-04,22,0.00073,0.679487179,53,0.065241457,3,2.404132231,7.374464817,44038.57143,1377.428571,233.4285714,2011/3/23 12:15,1313.714286,48875.86596,0,0.990191743
11.0 ,19.0 ,19.0 ,SofTalk,75,0.003796773,21,0.003256291,0.203603604,565,0.206933491,3,2.000826446,5187.689566,10594.43902,160.9268293,194.6341463,2010/12/17 9:00,251.5365854,13672.51298,0,0.511249832
12.0 ,26.0 ,26.0 ,civ4,9,5.00E-04,22,0.000559,1,36,0.055744941,3,2.29338843,0,1326.722222,157,4.611111111,2011/10/28 2:40,520.2222222,1536.32741,1,0
13.0 ,28.0 ,28.0 ,Fallout3,10,5.50E-04,10,0.00056,0.888888889,40,0.071593205,3,2.167768595,2.413259109,26247.91667,629.2222222,69.02777778,2010/11/19 6:49,712.0555556,27897.86254,0,0.477670515
14.0 ,30.0 ,30.0 ,X.せんしゃのなかにいる.,9,5.00E-04,22,0.000568,1,36,0.047772181,3,2.410743802,0,14464.65279,1522.883619,366.0365903,2011/7/8 12:10,825.5819971,21336.27072,0,0.466188216
15.0 ,31.0 ,31.0 ,Minecraft,40,0.002048259,22,0.002006816,0.279487179,218,0.130591031,3,2.123140496,1057.017141,23411.12143,544.2357143,200.3,2012/5/13 23:39,681.5357143,26947.59532,0,0.514993042
16.0 ,33.0 ,33.0 ,X3日後,9,5.00E-04,22,0.000531,1,36,0.058237992,3,2.403305785,0,13016.11213,1447.161905,387.7615867,2011/7/1 10:45,751.2777462,20138.67888,0,0.418890321
17.0 ,40.0 ,40.0 ,SayKana,9,5.00E-04,21,0.000483,1,36,0.05844955,3,2.275206612,0,48522,1087,1424,2009/11/11 23:01,228,70945.84696,0,0.065628028
18.0 ,44.0 ,44.0 ,ニコニコ国内旅行,18,9.49E-04,4,0.000861,0.581699346,89,0.056540235,3,2.563636364,123.9332626,11718.13793,409.3103448,117.862069,2012/6/30 14:46,756.137931,13881.69775,0,0.077392936
19.0 ,45.0 ,45.0 ,ニコニコムービーメーカー,231,0.011590148,21,0.010237003,0.068435912,1818,0.451952171,2,1.809090909,47586.86958,10675.07755,254.5428571,103.3959184,2010/10/1 7:58,302.7510204,12474.68662,0,0.511249832
20.0 ,50.0 ,50.0 ,ニコニコ動画講座,45,0.002298047,21,0.001991975,0.349494949,346,0.174755592,3,1.984297521,1813.859522,5281.409836,144.6229508,165.6393443,2011/4/3 6:23,358.5737705,7906.882425,0,0.511249833
21.0 ,51.0 ,51.0 ,ニコニコ技術部,29,0.001498726,21,0.001316587,0.477832512,194,0.128776328,3,2.010743802,742.5462214,6986.6875,346.4375,159.28125,2011/8/4 7:25,360.625,9706.325006,0,0.62743332
22.0 ,56.0 ,56.0 ,お菓子作り,10,5.50E-04,4,0.000519,0.933333333,42,0.048105488,3,2.571900826,14.1955601,1506,64,17.66666667,2010/7/15 3:56,227.6666667,1832.420113,1,0
23.0 ,58.0 ,58.0 ,エンターテイメント,166,0.008342909,9,0.007366056,0.092734575,1270,0.335254847,3,1.869421488,31212.42867,6121.141791,123.6393035,29.45522388,2013/3/2 23:39,335.0174129,6684.173032,0,0.511249832
24.0 ,61.0 ,61.0 ,イカ,10,5.50E-04,4,0.000539,1,45,0.031681652,3,2.688429752,0,1931,220.3333333,16.66666667,2012/9/11 16:24,728.6666667,2378.940908,0,0.040459367
25.0 ,65.0 ,65.0 ,ＧＷ,10,5.50E-04,4,0.000542,1,45,0.034037563,3,2.653719008,0,805,41,8,2012/5/11 20:43,424,964.0316159,1,0
26.0 ,76.0 ,76.0 ,Love,10,5.50E-04,4,0.000598,1,45,0.013657525,4,2.880991736,0,366,19,5,2011/7/21 0:56,280,459.074359,1,0
27.0 ,79.0 ,79.0 ,ゆっくり,242,0.012139682,21,0.010565131,0.068276122,1991,0.466907339,2,1.8,56044.5193,6947.790541,191.4617117,64.6036036,2011/6/8 13:28,355.1306306,8103.2177,0,0.511249832
28.0 ,82.0 ,82.0 ,COD:MW3,12,6.49E-04,7,0.000689,0.772727273,51,0.066253766,3,2.360330579,64.15167851,2816.5,152,17.5,2012/3/21 11:48,975,3223.262559,0,0.490373332
29.0 ,84.0 ,84.0 ,HONDA,10,5.50E-04,4,0.000568,1,45,0.022887805,3,2.73553719,0,593,35.33333333,3,2012/3/2 11:42,806.3333333,671.3558606,1,0
30.0 ,85.0 ,85.0 ,iPhone,10,5.50E-04,4,0.000547,1,45,0.024855578,3,2.734710744,0,3650,98.66666667,42.33333333,2011/12/14 18:28,468.3333333,4381.098713,0,0.088720941
31.0 ,89.0 ,89.0 ,Excel,9,5.00E-04,21,0.000506,1,36,0.027148524,4,2.751239669,0,2148,81,58,2012/3/5 6:17,307,3096.131176,0,0.27102111
32.0 ,101.0 ,101.0 ,その他,42,0.002148174,21,0.001829512,0.286875726,247,0.140466391,3,2.208264463,1093.325437,2664.385714,117.0285714,19.87142857,2011/9/25 6:29,389.4,3074.596642,0,0.51275782
33.0 ,105.0 ,105.0 ,DemolitionCompany,9,5.00E-04,4,0.000589,1,36,0.034047805,3,2.384297521,0,127213,4839,397,2010/10/2 18:24,1028,137830.208,1,0
34.0 ,107.0 ,107.0 ,ksk,10,5.50E-04,4,0.000611,1,45,0.035597417,3,2.383471074,0,253408,15001,465,2010/10/9 13:46,867,274547.0652,1,0
35.0 ,112.0 ,112.0 ,てってってー,12,6.49E-04,21,0.000607,0.803030303,53,0.066691075,3,2.260330579,34.46997686,10096.83333,310.5,533,2010/10/11 21:03,251,18393.52096,0,0.245940142
36.0 ,113.0 ,113.0 ,PC破壊用BGM,9,5.00E-04,21,0.000538,1,36,0.019776277,3,2.766115702,0,5915,94,13,2010/3/21 14:01,416,6202.532713,0,0.895361999
37.0 ,115.0 ,115.0 ,X.BGM推奨,11,5.99E-04,21,0.00055,0.618181818,34,0.059323258,3,2.495041322,15.29677539,34510.03093,1907.527813,225.0737793,2011/6/20 6:25,669.304253,39694.3641,0,0.631374107
38.0 ,121.0 ,121.0 ,お前が言うな,16,8.49E-04,22,0.000783,0.608333333,73,0.094764928,3,2.091735537,224.755714,12316.6,473.2,55.6,2010/10/13 11:52,409.8,13606.36822,0,0.797645743
39.0 ,122.0 ,122.0 ,haru.,11,5.99E-04,9,0.000586,0.854545455,47,0.037944362,3,2.65785124,17.10830196,33356.33432,1430.479924,146.716812,2011/6/19 5:58,510.563576,36928.99024,0,0.061464506
40.0 ,126.0 ,126.0 ,Bitstar,9,5.00E-04,8,0.000497,0.888888889,32,0.029647131,3,2.679338843,1.207775573,376.5714286,13.42857143,12.42857143,2010/10/5 20:40,187.5714286,575.9804757,1,0
41.0 ,129.0 ,129.0 ,アニメ,40,0.002048259,21,0.001943391,0.242307692,189,0.102795721,3,2.356198347,2489.003968,33029,1445.962963,420.3703704,2010/3/3 9:40,370.3333333,40720.60194,0,0.511288491
42.0 ,130.0 ,130.0 ,haru,11,5.99E-04,9,0.000597,0.8,44,0.036593677,3,2.65785124,6.784877149,20852,754.3333333,45.66666667,2010/7/20 18:35,482.6666667,22265.05314,0,0.13244093
43.0 ,135.0 ,135.0 ,VOCALOID,35,0.001798471,8,0.001642623,0.319327731,190,0.087894201,3,2.483471074,995.0002869,1944.045455,83.5,63,2011/2/26 20:32,257.9090909,2969.210321,0,0.574381991
44.0 ,137.0 ,137.0 ,カオス,28,0.001448769,1,0.001354077,0.346560847,131,0.121626798,3,2.096694215,3319.879141,40624,1275,328.875,2011/6/9 3:51,580.25,46793.62851,0,0.511257409
45.0 ,145.0 ,145.0 ,だが俺はレアだぜ,10,5.50E-04,21,0.000528,1,45,0.032428357,3,2.695041322,0,54602,406,132,2011/2/14 2:10,121,56985.01059,0,0.643441542
46.0 ,152.0 ,152.0 ,X3.00,9,5.00E-04,8,0.000505,1,36,0.021909483,3,2.765289256,0,1324.695396,1739.859142,400.7511943,2011/7/12 4:02,664.5085689,8202.274758,0,0.125541313
47.0 ,153.0 ,153.0 ,lemoN,10,5.50E-04,22,0.000578,1,45,0.058915022,3,2.394214876,0,24221,635,335,2010/3/13 12:40,564,29864.99329,0,0.672106918
48.0 ,154.0 ,154.0 ,X2ch,10,5.50E-04,22,0.000551,1,45,0.046111245,3,2.421487603,0,36928.54203,1316.190163,220.3153865,2011/6/26 21:19,482.1626956,41504.42583,0,0.25061764
49.0 ,157.0 ,157.0 ,アクション実況part1リンク,4,2.50E-04,22,0.000297,1,6,0.046932646,3,2.414876033,0,42468,756.5,729,2010/12/24 20:09,861,54146.4796,0,0.31733884
50.0 ,158.0 ,158.0 ,RPG実況part1リンク,9,5.00E-04,22,0.000564,1,36,0.052885755,3,2.410743802,0,477780,5139,12278,2010/3/15 21:21,523,667035.6691,1,0
51.0 ,165.0 ,165.0 ,ＮＥＷスーパーマリオブラザーズＷｉｉ,9,5.00E-04,3,0.000618,1,36,0.046124542,3,2.410743802,0,2018,105,20,2011/5/6 1:33,794,2417.855343,0,0.07751097
52.0 ,166.0 ,166.0 ,ELONA,9,5.00E-04,22,0.000536,1,36,0.056637473,3,2.391735537,0,12765.66667,338,158,2012/3/24 13:15,422.6666667,15465.05207,0,0.049609417
53.0 ,167.0 ,167.0 ,SEGA,9,5.00E-04,22,0.000566,1,36,0.052925872,3,2.408264463,0,10388.33333,360,83.33333333,2012/8/27 13:23,1093.333333,11986.36841,0,0.81501895
54.0 ,169.0 ,169.0 ,Ib,9,5.00E-04,22,0.000557,1,36,0.053736815,3,2.410743802,0,33128,1711.75,262.5,2012/10/27 1:35,729,38693.77706,0,0.331326893
55.0 ,172.0 ,172.0 ,AC?,10,5.50E-04,14,0.000542,1,45,0.062347361,3,2.165289256,0,15474.42857,306.8571429,80,2011/12/23 16:02,708.4285714,16975.34916,0,0.143757431
56.0 ,173.0 ,173.0 ,PCゲーム,14,7.49E-04,22,0.00081,0.571428571,52,0.068182193,3,2.358677686,42.57500037,27356.84615,666.3846154,253.5384615,2011/5/16 0:57,560,31810.60333,0,0.515258139
57.0 ,174.0 ,174.0 ,ゆっくり実況プレイPart1リンク,160,0.008043163,22,0.007951998,0.07327044,932,0.330443417,3,1.919008264,15578.38849,25069.32039,708.4466019,354.8543689,2011/10/23 12:00,810.8349515,31081.37678,0,0.511249832
58.0 ,177.0 ,177.0 ,X.勝率.打率,9,5.00E-04,22,0.000541,1,36,0.06311149,3,2.266115702,0,12316.03765,788.3465372,416.568985,2011/7/11 19:28,703.8455904,19306.95399,0,0.220443498
59.0 ,178.0 ,178.0 ,Hellsinker.,9,5.00E-04,15,0.000589,1,36,0.035276301,3,2.42892562,0,1563,47,21,2011/7/22 7:02,766,1923.645616,1,0
60.0 ,180.0 ,180.0 ,うp主失踪シリーズ,14,7.49E-04,22,0.000738,0.626373626,57,0.08107317,3,2.260330579,63.05274937,81998,1835.142857,1564,2012/2/7 13:07,1036.142857,107253.7065,1,0
61.0 ,182.0 ,182.0 ,Oblivion,9,5.00E-04,22,0.000516,0.694444444,25,0.067212551,3,2.347107438,6.579201682,19166.5,549.75,77.75,2011/4/15 0:15,1008,20867.23148,0,0.84092421
62.0 ,183.0 ,183.0 ,CoD4,9,5.00E-04,2,0.00058,1,36,0.0524572,3,2.410743802,0,1963,116,33,2010/11/21 16:07,918,2567.628788,0,0.655219068
63.0 ,184.0 ,184.0 ,STG,31,0.001598641,15,0.001686912,0.333333333,155,0.085672848,3,2.294214876,331.5341164,35238.6,1321,145.4,2010/12/14 16:36,1106.4,38693.05768,0,0.829690309
64.0 ,194.0 ,194.0 ,SFC,10,5.50E-04,22,0.000614,0.866666667,39,0.058781491,3,2.409917355,1.5,11265.33333,370,55,2011/8/22 7:41,902,12448.6228,0,0.775725883
65.0 ,205.0 ,205.0 ,３DS,9,5.00E-04,18,6.00E-04,1,36,0.03457357,3,2.428099174,0,12862,372,178,2011/12/20 21:59,750,15893.68208,0,0.222073267
66.0 ,207.0 ,207.0 ,F.E.A.R.3,9,5.00E-04,22,0.000563,1,36,0.053005966,3,2.410743802,0,40035,1113,704,2011/10/2 11:59,989,51678.4012,0,0.891444505
67.0 ,211.0 ,211.0 ,X7500,10,5.50E-04,22,0.000571,1,45,0.051987214,3,2.274380165,0,52923.77993,450.6603907,184.2004102,2011/6/6 15:06,623.2237013,56133.65447,0,0.148638074
68.0 ,212.0 ,212.0 ,TRPG,71,0.003596943,22,0.003414567,0.178672032,444,0.176763103,3,2.071900826,2517.820442,8429.911111,217.9777778,65.13333333,2012/10/14 16:59,682.6444444,9619.435636,0,0.511249832
69.0 ,218.0 ,218.0 ,ゆっくりTRPG,215,0.010790828,22,0.01040723,0.058900239,1355,0.39071308,3,1.826446281,32079.60431,28399.96954,682.7106599,362.5888325,2012/12/22 14:00,723.6751269,34505.68353,0,0.511249832
70.0 ,219.0 ,219.0 ,ＴＲＰＧ,26,0.001348854,22,0.001328451,0.4,130,0.081243966,3,2.347107438,161.7785476,36988.33333,646.8888889,288.7777778,2012/11/16 16:25,812.4444444,41955.85457,0,0.799613355
71.0 ,221.0 ,221.0 ,【SW2.0】ゆっくり達が冒険へ,28,0.001448769,22,0.001435555,0.423280423,160,0.085035059,3,2.382644628,43.43605065,14844.57143,273.5714286,41.14285714,2012/2/21 6:50,482,15730.34872,0,0.875901381
72.0 ,222.0 ,222.0 ,BBA_RUN,9,5.00E-04,22,0.000535,1,36,0.057741392,3,2.403305785,0,3301,147,14,2012/5/12 16:39,1181,3651.758232,0,0.925111361
73.0 ,223.0 ,223.0 ,クトゥルフ神話TRPG,106,0.005345456,22,0.00520138,0.105121294,585,0.20735888,3,2.101652893,4452.793042,38397.64423,904.0192308,502.75,2013/1/11 10:29,696.3076923,46822.3818,0,0.511249832
74.0 ,225.0 ,225.0 ,SW2.0,16,8.49E-04,22,0.000836,0.658333333,79,0.074814184,3,2.363636364,39.41498369,4445.666667,72.66666667,21,2012/12/15 3:29,334,4832.170069,0,0.110820085
75.0 ,226.0 ,226.0 ,X.帝都モノガタリ.灯火の行く橋,9,5.00E-04,22,0.000553,1,36,0.057517208,3,2.403305785,0,12225.57559,1786.979237,309.1612422,2011/7/10 3:51,665.205482,18427.00473,0,0.369548401
76.0 ,229.0 ,229.0 ,アリアンロッド2E,14,7.49E-04,22,0.000774,0.725274725,66,0.06456443,3,2.399173554,4.30952381,36753.14286,834.5714286,133.8571429,2012/4/23 10:53,1212.857143,39577.10694,0,0.815547408
77.0 ,230.0 ,230.0 ,14へ行け,24,0.001248938,22,0.001218742,0.463768116,128,0.092584368,3,2.230578512,463.7903641,71470.33333,2247.666667,210,2012/7/30 6:51,1122.333333,76799.66316,0,0.78531648
78.0 ,231.0 ,231.0 ,X50点さん,9,5.00E-04,22,0.00052,1,36,0.058307187,3,2.403305785,0,8032.743884,1977.956463,734.9068204,2011/6/30 6:55,726.7429201,20670.2179,0,0.539747432
79.0 ,233.0 ,233.0 ,OPだけ,9,5.00E-04,22,0.000537,1,36,0.041664404,3,2.423140496,0,61569,146,718,2012/2/23 22:46,130,72484.65858,0,0.0102029
80.0 ,234.0 ,234.0 ,クトゥルフ神話TRPG第一話リンク,19,9.99E-04,22,0.000973,0.549707602,94,0.080295444,3,2.363636364,39.62260112,43906.26316,805.6666667,890,2013/2/22 12:22,683.1929825,58047.69581,0,0.050613797
81.0 ,235.0 ,235.0 ,ASOBU,9,5.00E-04,8,0.00054,1,36,0.040692957,3,2.41322314,0,1915,65,12,2012/10/13 9:19,458,2157.879016,0,0.002570817
82.0 ,236.0 ,236.0 ,X.食事中の方は視聴にご注意下さい.,9,5.00E-04,22,0.000544,1,36,0.041528064,3,2.414876033,0,11035.4529,1456.775332,443.1697237,2011/7/23 11:06,706.8996661,18975.71308,0,0.26351392
83.0 ,237.0 ,237.0 ,クトゥルフ神話ＴＲＰＧ,28,0.001448769,22,0.00138356,0.380952381,144,0.097985587,3,2.21322314,509.325175,17657.20833,448.0833333,229.5416667,2012/12/4 14:53,665.7083333,21537.466,0,0.852927876
84.0 ,243.0 ,243.0 ,X9.02から戦闘,10,5.50E-04,22,0.000562,1,45,0.058927965,3,2.402479339,0,27811.5572,951.5769716,251.1406247,2011/6/1 15:24,540.7697057,32499.03481,0,0.422413212
85.0 ,248.0 ,248.0 ,X4大邪神人気No.1ニャルタンKP講座,9,5.00E-04,22,0.000531,1,36,0.033959499,4,2.41322314,0,6291.67873,2140.630495,575.8633484,2011/7/8 9:51,745.1868581,16561.57704,0,0.247088015
86.0 ,249.0 ,249.0 ,うｐ主失踪シリーズ,27,0.001398811,22,0.001344856,0.393162393,138,0.104295026,3,2.346280992,109.9082867,15775.75,622.125,234.6875,2012/5/7 18:33,752.375,19894.91751,0,0.827080034
87.0 ,250.0 ,250.0 ,X.heartful.hurtful,9,5.00E-04,12,0.000562,1,36,0.04014157,3,2.423140496,0,10905.07307,2470.724589,411.7425104,2011/6/26 0:51,697.5923069,19109.18194,0,0.040796605
88.0 ,251.0 ,251.0 ,X5.17から戦闘,9,5.00E-04,22,0.000515,1,36,0.060707181,3,2.357024793,0,13961.69026,1430.929416,227.2035854,2011/7/14 18:55,721.4096875,18669.58625,0,0.406903381
89.0 ,252.0 ,252.0 ,GM涙拭けよ,9,5.00E-04,22,0.000559,1,36,0.040399805,3,2.423966942,0,20142,766,86,2012/10/19 4:49,831,22170.05125,0,0.367135861
90.0 ,253.0 ,253.0 ,bubudog,13,6.99E-04,19,0.000782,0.846153846,66,0.040241314,3,2.420661157,1.714285714,25627,633.5,61.5,2012/10/20 2:03,1005.5,27167.75335,0,0.639481076
91.0 ,255.0 ,255.0 ,キマシタワー,14,7.49E-04,14,0.00073,0.659340659,60,0.063200925,3,2.254545455,272.1608158,11981.66667,390,100,2012/12/17 6:34,423,13859.47103,0,0.137316842
92.0 ,257.0 ,257.0 ,TRPGリプレイ,19,9.99E-04,22,0.000978,0.532163743,91,0.065822531,3,2.340495868,162.2449044,26575.61538,396.6923077,384.6923077,2013/2/3 1:12,614.3846154,32736.94004,0,0.194234166
93.0 ,258.0 ,258.0 ,ＡＭＥＮ,9,5.00E-04,22,0.000553,1,36,0.057517208,3,2.403305785,0,43121,1239,201,2012/10/20 14:49,770,47340.55012,0,0.44194876
94.0 ,259.0 ,259.0 ,D.amp.Dガールズサイド,9,5.00E-04,22,0.000558,1,36,0.054628677,3,2.403305785,0,13314.3231,1185.41373,331.3929826,2011/7/13 3:21,522.0158108,19375.88452,0,0.148777593
95.0 ,260.0 ,260.0 ,X.死に行く順番.,9,5.00E-04,22,0.000531,1,36,0.027858687,3,2.615702479,0,8223.71949,1372.437119,223.1761258,2011/7/8 5:43,716.3021336,12751.9745,0,0.724282819
96.0 ,262.0 ,262.0 ,APP格差社会,9,5.00E-04,22,0.000542,1,36,0.057938632,3,2.403305785,0,263404,7937,943,2012/10/21 20:49,1649,285254.6387,1,0
97.0 ,266.0 ,266.0 ,APヘタリア★読み上げソフトリンク,9,5.00E-04,21,0.000582,1,36,0.014172795,3,2.80661157,0,6369.5,191,29.5,2010/4/20 11:33,463,6997.464188,0,0.913148997
98.0 ,267.0 ,267.0 ,テレビ東方,50,0.002547834,14,0.002348839,0.24,294,0.11347905,3,2.338842975,1922.695092,7870.842105,199.0526316,51.73684211,2011/11/5 10:20,444.1578947,8841.068798,0,0.511250986
99.0 ,269.0 ,269.0 ,ﾃﾞｽﾄﾛｰｲ,10,5.50E-04,14,0.000545,1,45,0.033701408,3,2.636363636,0,11160,351,109,2010/10/3 21:17,481,13135.3975,0,0.66434996
100.0 ,270.0 ,270.0 ,BGMがネタバレ,10,5.50E-04,21,0.000545,1,45,0.030268339,3,2.692561983,0,153385,2460,455,2010/10/27 2:34,331,162631.2821,1,0
101.0 ,272.0 ,272.0 ,FME,10,5.50E-04,21,0.000538,1,45,0.034289144,3,2.67107438,0,13267,417,420,2010/11/1 4:27,372,19971.67094,0,0.921688968
102.0 ,273.0 ,273.0 ,ゆっくり解説,205,0.010291252,21,0.009316492,0.072644668,1519,0.361200817,3,1.833057851,67900.5202,19253.4127,605.1785714,208.6071429,2011/11/1 22:02,400.3690476,22969.44768,0,0.511249832
103.0 ,274.0 ,274.0 ,NASA,13,6.99E-04,21,0.000705,0.846153846,66,0.031514011,3,2.690082645,1.714285714,31603,574,154,2010/12/4 0:00,342.5,34476.80929,0,0.953979035
104.0 ,278.0 ,278.0 ,MOONLIGHT,10,5.50E-04,21,0.000538,1,45,0.024241483,3,2.797520661,0,81489,633,303,2011/1/15 16:35,161,86662.13874,0,0.904079038
105.0 ,281.0 ,281.0 ,E環だけは最後までとっておく,9,5.00E-04,21,0.000504,1,36,0.021490405,4,2.814876033,0,72600,786,239,2011/2/7 12:42,231,76962.60888,0,0.423560885
106.0 ,282.0 ,282.0 ,デス.スター,10,5.50E-04,21,0.00055,1,45,0.0232114,4,2.8,0,39789.48483,1349.97727,294.776346,2011/6/3 12:26,626.8478901,45517.12341,0,0.576708415
107.0 ,283.0 ,283.0 ,カズマ,10,5.50E-04,21,0.000539,1,45,0.023090775,4,2.814049587,0,60511,397,155,2011/2/12 0:04,181,63230.41891,0,0.479357309
108.0 ,285.0 ,285.0 ,こうもり序曲,10,5.50E-04,21,0.000531,1,45,0.02397645,4,2.814049587,0,53081,448,140,2011/2/17 1:31,190,55625.26034,0,0.484415732
109.0 ,287.0 ,287.0 ,オベロン,10,5.50E-04,21,0.000553,1,45,0.021876527,4,2.814049587,0,50177,283,117,2011/2/25 16:37,160,52213.41649,0,0.454739439
110.0 ,289.0 ,289.0 ,サムネホイホイ,46,0.002348004,21,0.002120793,0.251207729,260,0.172711024,3,1.966115702,5012.523044,24444.68182,956.3636364,174.9545455,2011/7/1 3:49,669.3636364,27989.60232,0,0.511249832
111.0 ,290.0 ,290.0 ,ナマカ,10,5.50E-04,21,0.000571,1,45,0.018999929,4,2.814049587,0,47759,396,132,2011/3/10 23:40,165,50131.75242,0,0.437824902
112.0 ,294.0 ,294.0 ,X2005_YU55,9,5.00E-04,21,0.000493,1,36,0.029045772,3,2.732231405,0,5820.850126,2146.010464,659.4315625,2011/7/2 3:30,817.7800535,17324.45912,0,0.944986476
113.0 ,299.0 ,299.0 ,X6.48止めることを推奨,9,5.00E-04,14,0.000508,1,36,0.031621207,3,2.626446281,0,11775.19096,1977.410871,649.5462857,2011/7/14 2:02,689.4158462,23224.29816,0,0.236030501
