Id,Label,name,ave_view,ave_comment,ave_mylist,ave_starttime,end,ave_length,Points,training,modify_probability
2172,2172,バンジージャンプ,3013.6,152.6,6.4,2010/10/28 0:00,2015/10/20 0:00,1168.2,3254.860039,0,0.979343184
3611,3611,クチナシ,2900,192,21.5,2009/9/10 0:00,2015/10/20 0:00,836,3402.659949,0,0.959229895
1387,1387,ADAﾀﾝのありがたさが分かる動画,3847,200,6,2010/10/13 0:00,2015/10/20 0:00,1068,4127.130767,0,0.975342029
2162,2162,パックマン,3847,200,6,2010/10/13 0:00,2015/10/20 0:00,1068,4127.130767,0,0.975342029
2877,2877,ずっと俺のターン,3847,200,6,2010/10/13 0:00,2015/10/20 0:00,1068,4127.130767,0,0.975342029
4144,4144,誰得動画,3847,200,6,2010/10/13 0:00,2015/10/20 0:00,1068,4127.130767,0,0.975342029
937,937,バイク,3680,271,13,2011/8/21 0:00,2015/10/20 0:00,1449.333333,4127.473007,0,0.979794969
2899,2899,X.この人でなし.,4828,514,23,2011/5/29 0:00,2015/10/20 0:00,1245,5637.755638,0,0.962714421
3552,3552,スナザメ,4828,514,23,2011/5/29 0:00,2015/10/20 0:00,1245,5637.755638,0,0.962714421
4159,4159,科学,4828,514,23,2011/5/29 0:00,2015/10/20 0:00,1245,5637.755638,0,0.962714421
4726,4726,歌ってみろ,4828,514,23,2011/5/29 0:00,2015/10/20 0:00,1245,5637.755638,0,0.962714421
1507,1507,エドモンド.ハミルトン,8605.6,417,63.2,2011/1/6 0:00,2015/10/20 0:00,1162.6,9951.461454,0,0.970567825
472,472,EAT_LEAD,9101,511,50,2011/5/16 0:00,2015/10/20 0:00,1414,10334.97444,0,0.979085478
2180,2180,うまい.うますぎる,9101,511,50,2011/5/16 0:00,2015/10/20 0:00,1414,10334.97444,0,0.979085478
4721,4721,東方MMD,9101,511,50,2011/5/16 0:00,2015/10/20 0:00,1414,10334.97444,0,0.979085478
5285,5285,月読ショウタ,9101,511,50,2011/5/16 0:00,2015/10/20 0:00,1414,10334.97444,0,0.979085478
6272,6272,編集の本気,9101,511,50,2011/5/16 0:00,2015/10/20 0:00,1414,10334.97444,0,0.979085478
380,380,haru..ゆっくり怪談.,9567,452.8,66.8,2011/2/25 0:00,2015/10/20 0:00,843.8,11001.47325,0,0.973099183
2722,2722,アウトとセーフの境界を操る程度の能力,9781,343,114,2011/10/5 0:00,2015/10/20 0:00,1515,11822.5086,0,0.973432025
6289,6289,分からんということが分かった.,10884.66667,250,53.66666667,2011/8/2 0:00,2015/10/20 0:00,1056.333333,11934.08049,0,0.96697924
471,471,CALLING～黒き着信～,10038,450,99,2011/6/10 0:00,2015/10/20 0:00,1127,11953.87277,0,0.966492785
2179,2179,ヒイアカ,11705,497,56,2011/5/14 0:00,2015/10/20 0:00,1632,13021.84916,0,0.994927888
5284,5284,ルイズぅぅうううわぁあああああん,11705,497,56,2011/5/14 0:00,2015/10/20 0:00,1632,13021.84916,0,0.994927888
5802,5802,最強の敵：通路,11705,497,56,2011/5/14 0:00,2015/10/20 0:00,1632,13021.84916,0,0.994927888
6271,6271,服なんて飾りです,11705,497,56,2011/5/14 0:00,2015/10/20 0:00,1632,13021.84916,0,0.994927888
514,514,ShootingGameBuilder,13365,231,55,2011/1/24 0:00,2015/10/20 0:00,1212,14417.09106,0,0.99160898
4747,4747,デーンデーンデーン,13365,231,55,2011/1/24 0:00,2015/10/20 0:00,1212,14417.09106,0,0.99160898
484,484,DeadSpace,12488.66667,453.6666667,103.6666667,2011/6/21 0:00,2015/10/20 0:00,954,14481.55736,0,0.98683058
1231,1231,メダロット,13887,864,61,2012/10/21 0:00,2015/10/20 0:00,1584,15615.60194,0,0.986668283
5181,5181,博麗博物館作品リンク,13887,864,61,2012/10/21 0:00,2015/10/20 0:00,1584,15615.60194,0,0.986668283
5722,5722,東方暴月弾,13887,864,61,2012/10/21 0:00,2015/10/20 0:00,1584,15615.60194,0,0.986668283
1402,1402,GPM,15036,795,54,2010/11/17 0:00,2015/10/20 0:00,1295,16601.21246,0,0.970919724
2892,2892,ﾊｰﾄﾌﾙｸﾄｩﾙﾌ,15036,795,54,2010/11/17 0:00,2015/10/20 0:00,1295,16601.21246,0,0.970919724
5278,5278,条件付き確率,15036,795,54,2010/11/17 0:00,2015/10/20 0:00,1295,16601.21246,0,0.970919724
5799,5799,中毒性の高い動画,15036,795,54,2010/11/17 0:00,2015/10/20 0:00,1295,16601.21246,0,0.970919724
6267,6267,大正浪漫,15036,795,54,2010/11/17 0:00,2015/10/20 0:00,1295,16601.21246,0,0.970919724
2186,2186,さらにディスプレイを倒す事を推奨,15682.2,397.2,64.2,2011/2/18 0:00,2015/10/20 0:00,1194.8,17032.62722,0,0.957930594
511,511,アイ.マイ.まいん.,15909,409,60,2010/12/20 0:00,2015/10/20 0:00,2112,17207.78624,0,0.991253599
5825,5825,最終兵器カラダで払う,15909,409,60,2010/12/20 0:00,2015/10/20 0:00,2112,17207.78624,0,0.991253599
2885,2885,ボードゲーム,16719,820,135.5,2010/11/13 0:00,2015/10/20 0:00,986.5,19533.45649,0,0.967911919
463,463,X.かっせる,17531,1081.5,72.5,2011/2/18 0:00,2015/10/20 0:00,1288.5,19637.40207,0,0.962054301
3218,3218,スーパーマリオギャラクシー2,18126.5,998.5,72.5,2010/12/30 0:00,2015/10/20 0:00,1326.25,20160.56604,0,0.970438257
1196,1196,フォーゼ,17588.66667,753.3333333,155.3333333,2012/4/24 0:00,2015/10/20 0:00,1354.833333,20641.3193,0,0.96838586
5683,5683,物語は紡ぎ紡がれていく,19985,473,413,2011/10/4 0:00,2015/10/20 0:00,1223,26642.28039,0,0.965475063
6174,6174,初代三国志,19985,473,413,2011/10/4 0:00,2015/10/20 0:00,1223,26642.28039,0,0.965475063
999,999,ツーリング,27807,1559.333333,79.66666667,2011/2/7 0:00,2015/10/20 0:00,908,30478.75776,0,0.970225704
5824,5824,宇宙の真理について,23658.5,422.5,431,2010/12/29 0:00,2015/10/20 0:00,1054,30538.7176,0,0.991967451
508,508,あらかわいい,24930.5,511.5,433.5,2010/12/12 0:00,2015/10/20 0:00,1504,31934.3888,0,0.996908003
2713,2713,しまっちゃうおばさん,29164,1020,241,2012/5/11 0:00,2015/10/20 0:00,1560,33764.80444,0,0.981553975
3987,3987,東方鉱工芸,29164,1020,241,2012/5/11 0:00,2015/10/20 0:00,1560,33764.80444,0,0.981553975
4565,4565,大坂.そして伝説へ,29164,1020,241,2012/5/11 0:00,2015/10/20 0:00,1560,33764.80444,0,0.981553975
274,274,ﾃﾞｽﾄﾛｰｲ,31603,574,154,2010/12/4 0:00,2015/10/20 0:00,342.5,34476.80929,0,0.953979035
2780,2780,SE芸,31603,574,154,2010/12/4 0:00,2015/10/20 0:00,342.5,34476.80929,0,0.953979035
5189,5189,ししゃも,31603,574,154,2010/12/4 0:00,2015/10/20 0:00,342.5,34476.80929,0,0.953979035
1295,1295,キチガイ卓,33525,1441,87,2011/12/19 0:00,2015/10/20 0:00,1730,36211.76168,0,0.989224351
3468,3468,ダイナマ伊藤,33525,1441,87,2011/12/19 0:00,2015/10/20 0:00,1730,36211.76168,0,0.989224351
5747,5747,音程が来い,33525,1441,87,2011/12/19 0:00,2015/10/20 0:00,1730,36211.76168,0,0.989224351
341,341,BORDERBREAK,34896,1517.5,81.5,2011/11/10 0:00,2015/10/20 0:00,1658,37572.90077,0,0.995288725
2820,2820,レア,36267,1594,76,2011/10/3 0:00,2015/10/20 0:00,1586,38934.02486,0,0.98648566
4646,4646,働カーズ,36267,1594,76,2011/10/3 0:00,2015/10/20 0:00,1586,38934.02486,0,0.98648566
5213,5213,静岡県,36267,1594,76,2011/10/3 0:00,2015/10/20 0:00,1586,38934.02486,0,0.98648566
5749,5749,リア充爆発した,36267,1594,76,2011/10/3 0:00,2015/10/20 0:00,1586,38934.02486,0,0.98648566
6228,6228,洗脳動画,36267,1594,76,2011/10/3 0:00,2015/10/20 0:00,1586,38934.02486,0,0.98648566
5332,5332,新たな世界が開けたおじいさん,34768.72062,874.4177327,237.7064871,2011/6/19 0:00,2015/10/20 0:00,819.8912545,39187.42606,0,0.957481359
6187,6187,妄想フルスロットル,38484,1232,101,2012/2/24 0:00,2015/10/20 0:00,1389,41192.88,0,0.975988489
5039,5039,ゆっくりしないでいってね,39631,1429.727273,239.2727273,2011/1/2 0:00,2015/10/20 0:00,883,44600.32375,0,0.961684521
1212,1212,Chiptune×VOCALOIDリンク,42641,969,138,2012/2/16 0:00,2015/10/20 0:00,1384,45658.53705,0,0.977079723
4598,4598,ローカル番組,42641,969,138,2012/2/16 0:00,2015/10/20 0:00,1384,45658.53705,0,0.977079723
18,18,いい最終回だった,44038.57143,1377.428571,233.4285714,2011/3/24 0:00,2015/10/20 0:00,1313.714286,48875.86596,0,0.990191743
4203,4203,初めてのクトゥルフ,45585,1034.666667,207.6666667,2010/1/15 0:00,2015/10/20 0:00,1164,49711.80534,0,0.979398875
1492,1492,ナイト2000,50206.46276,1516.762563,157.0128435,2011/6/15 0:00,2015/10/20 0:00,796.2377974,54034.07414,0,0.954084453
1281,1281,アンデルセン神父,51482,2326,123,2011/5/7 0:00,2015/10/20 0:00,1429,55552.68152,0,0.990255379
2059,2059,ゆっくり実況プレイpart１リンク,51482,2326,123,2011/5/7 0:00,2015/10/20 0:00,1429,55552.68152,0,0.990255379
2807,2807,初音ミク,51482,2326,123,2011/5/7 0:00,2015/10/20 0:00,1429,55552.68152,0,0.990255379
5741,5741,月読家実況プレイ,51482,2326,123,2011/5/7 0:00,2015/10/20 0:00,1429,55552.68152,0,0.990255379
339,339,ＡＣ3,52591.5,4787.5,154.5,2010/8/18 0:00,2015/10/20 0:00,1327.5,59298.12069,0,0.995238086
1972,1972,ダブルクロス,57380,1967,871,2011/5/7 0:00,2015/10/20 0:00,1208,72347.74863,0,0.959103759
3381,3381,呪歌,57380,1967,871,2011/5/7 0:00,2015/10/20 0:00,1208,72347.74863,0,0.959103759
5133,5133,世紀末バカゲー,57380,1967,871,2011/5/7 0:00,2015/10/20 0:00,1208,72347.74863,0,0.959103759
5663,5663,謎の技術,57380,1967,871,2011/5/7 0:00,2015/10/20 0:00,1208,72347.74863,0,0.959103759
1227,1227,アーマードコア,59652,3561,301,2012/10/20 0:00,2015/10/20 0:00,1127,67528.34762,0,0.946647032
4616,4616,幻想郷で一番仲の悪い仲良し,59652,3561,301,2012/10/20 0:00,2015/10/20 0:00,1127,67528.34762,0,0.946647032
3446,3446,どうあがいても破滅なクトゥルフ神話,26526.25,657.5,178.75,2010/9/27 0:00,2015/10/20 0:00,684.25,29849.20078,0,0.946253927
294,294,こうもり序曲,5820.850126,2146.010464,659.4315625,2011/7/2 0:00,2015/10/20 0:00,817.7800535,17324.45912,0,0.944986476
1183,1183,ポケモン,14085,525,127,2010/11/23 0:00,2015/10/20 0:00,1091,16496.29708,0,0.943063733
1983,1983,ＳＴＧプレイpart1リンク,14085,525,127,2010/11/23 0:00,2015/10/20 0:00,1091,16496.29708,0,0.943063733
3393,3393,我ながらこれはひどい,14085,525,127,2010/11/23 0:00,2015/10/20 0:00,1091,16496.29708,0,0.943063733
5140,5140,愛ちゃん,14085,525,127,2010/11/23 0:00,2015/10/20 0:00,1091,16496.29708,0,0.943063733
5191,5191,ゆっダン,24776.60791,1347.414343,271.3640136,2011/6/4 0:00,2015/10/20 0:00,522.6357184,30125.70053,0,0.940828766
1244,1244,いちたりた,29394,657,94,2010/12/5 0:00,2015/10/20 0:00,463,31446.68091,0,0.940355856
3441,3441,トゥートゥー,29394,657,94,2010/12/5 0:00,2015/10/20 0:00,463,31446.68091,0,0.940355856
4628,4628,主に体がきもい,29394,657,94,2010/12/5 0:00,2015/10/20 0:00,463,31446.68091,0,0.940355856
6215,6215,霧雨魔理沙,29394,657,94,2010/12/5 0:00,2015/10/20 0:00,463,31446.68091,0,0.940355856
2232,2232,ゆっくり実況プレイ最終回リンク,13886.75,375.5,193.25,2010/10/29 0:00,2015/10/20 0:00,718.25,17151.24591,0,0.940179375
555,555,へうげもの,22852.33333,474.3333333,957.6666667,2008/12/12 0:00,2015/10/20 0:00,179.6666667,37682.40176,0,0.939662643
4624,4624,人間を驚かすには.やっぱり夜じゃないとね,4662,170,26,2010/4/21 0:00,2015/10/20 0:00,578,5216.05105,0,0.937455477
5726,5726,東方萃香無双,4662,170,26,2010/4/21 0:00,2015/10/20 0:00,578,5216.05105,0,0.937455477
6212,6212,東方隠れた名作リンク,40737.52875,898.757955,151.4743228,2011/6/7 0:00,2015/10/20 0:00,720.5991594,43889.07135,0,0.936017999
581,581,さるの,12130.28932,835.2949402,237.221478,2011/7/15 0:00,2015/10/20 0:00,795.5221626,16471.06027,0,0.934328535
4745,4745,ゆっくり笑っていってね！,18493.6,359.6,209,2011/1/31 0:00,2015/10/20 0:00,1283.8,21981.4163,0,0.931233389
222,222,ＴＲＰＧ,3301,147,14,2012/5/13 0:00,2015/10/20 0:00,1181,3651.758232,0,0.925111361
2014,2014,WMM,3301,147,14,2012/5/13 0:00,2015/10/20 0:00,1181,3651.758232,0,0.925111361
3415,3415,洒落怖,3301,147,14,2012/5/13 0:00,2015/10/20 0:00,1181,3651.758232,0,0.925111361
4020,4020,ローゼンメイデン,3301,147,14,2012/5/13 0:00,2015/10/20 0:00,1181,3651.758232,0,0.925111361
4593,4593,ルパン三世,3301,147,14,2012/5/13 0:00,2015/10/20 0:00,1181,3651.758232,0,0.925111361
5137,5137,ゆっくりんご,4871,250,62,2011/7/21 0:00,2015/10/20 0:00,1249,6038.941347,0,0.922591833
5668,5668,当然だぁ.,4871,250,62,2011/7/21 0:00,2015/10/20 0:00,1249,6038.941347,0,0.922591833
6164,6164,平和な日常..,4871,250,62,2011/7/21 0:00,2015/10/20 0:00,1249,6038.941347,0,0.922591833
272,272,APヘタリア★読み上げソフトリンク,13267,417,420,2010/11/1 0:00,2015/10/20 0:00,372,19971.67094,0,0.921688968
1241,1241,ＦＥＡＲ３,13267,417,420,2010/11/1 0:00,2015/10/20 0:00,372,19971.67094,0,0.921688968
3440,3440,棒歌ロイド,13267,417,420,2010/11/1 0:00,2015/10/20 0:00,372,19971.67094,0,0.921688968
4047,4047,宇宙ヤバイ,13267,417,420,2010/11/1 0:00,2015/10/20 0:00,372,19971.67094,0,0.921688968
1782,1782,Xファイル,58156.81818,4258.818182,173.3636364,2010/11/16 0:00,2015/10/20 0:00,820.2727273,64726.30305,0,0.919284947
456,456,Death_House_the_Final_Nightmare,83362,3089,342,2010/11/14 0:00,2015/10/20 0:00,1018,91471.06117,0,0.914899191
1398,1398,ADAの人,83362,3089,342,2010/11/14 0:00,2015/10/20 0:00,1018,91471.06117,0,0.914899191
2888,2888,ほんわかの人,83362,3089,342,2010/11/14 0:00,2015/10/20 0:00,1018,91471.06117,0,0.914899191
4710,4710,東方_シリーズPart1リンク,83362,3089,342,2010/11/14 0:00,2015/10/20 0:00,1018,91471.06117,0,0.914899191
6266,6266,視聴者様の中に絵師さんはいませんか.,83362,3089,342,2010/11/14 0:00,2015/10/20 0:00,1018,91471.06117,0,0.914899191
2636,2636,ゆっくりSF紙芝居,11344,287,69,2010/5/30 0:00,2015/10/20 0:00,927,12658.95991,0,0.914624819
1236,1236,うｐ主はドＭ,6369.5,191,29.5,2010/4/20 0:00,2015/10/20 0:00,463,6997.464188,0,0.913148997
2030,2030,ラジオ,6369.5,191,29.5,2010/4/20 0:00,2015/10/20 0:00,463,6997.464188,0,0.913148997
3438,3438,ばかす,6369.5,191,29.5,2010/4/20 0:00,2015/10/20 0:00,463,6997.464188,0,0.913148997
4042,4042,フルボイス,15094.34234,1384.998931,516.190604,2011/6/22 0:00,2015/10/20 0:00,681.620689,24109.33408,0,0.912769639
2175,2175,メンデルスゾーン,64565.5,2555,702,2010/11/17 0:00,2015/10/20 0:00,1070,77554.24839,0,0.91274362
445,445,ＣＭＬ.Ｐ,38212,2240,122,2010/10/27 0:00,2015/10/20 0:00,835,42158.3346,0,0.908349233
3534,3534,ピー助山,38212,2240,122,2010/10/27 0:00,2015/10/20 0:00,835,42158.3346,0,0.908349233
6260,6260,真っ白な街と真っ黒なセロス,38212,2240,122,2010/10/27 0:00,2015/10/20 0:00,835,42158.3346,0,0.908349233
1476,1476,コンボイの謎,17901.40797,927.3590373,255.5001334,2011/6/2 0:00,2015/10/20 0:00,586.9642715,22616.20598,0,0.90549765
3134,3134,まさかのナナメ移動,3755.5,172.5,55.75,2010/10/25 0:00,2015/10/20 0:00,764.75,4756.780593,0,0.905071244
278,278,BGMがネタバレ,81489,633,303,2011/1/16 0:00,2015/10/20 0:00,161,86662.13874,0,0.904079038
5728,5728,何やってんだ俺,81489,633,303,2011/1/16 0:00,2015/10/20 0:00,161,86662.13874,0,0.904079038
