Source,Target,Type,Id,Label,Weight
3,1,Undirected,5,0,1
6,1,Undirected,11,0,1
9,1,Undirected,17,0,16
9,5,Undirected,18,0,1
9,7,Undirected,19,0,2
10,1,Undirected,21,0,28
10,7,Undirected,22,0,6
10,9,Undirected,23,0,4
12,1,Undirected,26,0,3
14,1,Undirected,31,0,20
15,1,Undirected,33,0,2
18,1,Undirected,39,0,3
19,6,Undirected,41,0,1
26,1,Undirected,56,0,17
26,14,Undirected,57,0,17
28,1,Undirected,61,0,2
30,1,Undirected,64,0,1
30,9,Undirected,65,0,1
31,1,Undirected,67,0,22
31,18,Undirected,68,0,1
33,1,Undirected,72,0,2
40,19,Undirected,86,0,1
45,1,Undirected,95,0,33
45,6,Undirected,96,0,1
45,9,Undirected,97,0,3
45,11,Undirected,98,0,1
45,14,Undirected,99,0,4
45,15,Undirected,100,0,2
45,17,Undirected,101,0,1
45,19,Undirected,102,0,9
45,26,Undirected,103,0,3
45,28,Undirected,104,0,1
45,36,Undirected,105,0,4
45,37,Undirected,106,0,1
45,38,Undirected,107,0,1
45,39,Undirected,108,0,2
45,40,Undirected,109,0,1
45,42,Undirected,110,0,2
45,43,Undirected,111,0,1
50,1,Undirected,117,0,3
50,19,Undirected,118,0,5
50,40,Undirected,119,0,1
50,45,Undirected,120,0,21
51,1,Undirected,122,0,2
51,45,Undirected,123,0,6
51,50,Undirected,124,0,3
56,45,Undirected,131,0,1
58,6,Undirected,136,0,1
58,19,Undirected,137,0,9
58,44,Undirected,138,0,1
58,45,Undirected,139,0,66
61,58,Undirected,144,0,1
79,1,Undirected,177,0,22
79,6,Undirected,178,0,1
79,19,Undirected,179,0,18
79,21,Undirected,180,0,2
79,22,Undirected,181,0,2
79,40,Undirected,182,0,1
79,44,Undirected,183,0,6
79,45,Undirected,184,0,109
79,49,Undirected,185,0,1
79,50,Undirected,186,0,33
79,51,Undirected,187,0,13
79,52,Undirected,188,0,1
79,56,Undirected,189,0,1
79,58,Undirected,190,0,76
79,60,Undirected,191,0,1
79,61,Undirected,192,0,1
79,65,Undirected,193,0,1
84,79,Undirected,203,0,1
85,44,Undirected,205,0,1
85,79,Undirected,206,0,1
101,19,Undirected,237,0,3
101,45,Undirected,238,0,12
101,79,Undirected,239,0,15
105,1,Undirected,247,0,1
107,1,Undirected,252,0,1
112,19,Undirected,261,0,2
112,45,Undirected,262,0,2
112,50,Undirected,263,0,2
112,79,Undirected,264,0,1
113,79,Undirected,266,0,1
115,45,Undirected,270,0,2
115,58,Undirected,271,0,1
115,79,Undirected,272,0,2
115,101,Undirected,273,0,1
121,1,Undirected,293,0,1
121,45,Undirected,294,0,2
121,79,Undirected,295,0,2
122,45,Undirected,297,0,2
122,58,Undirected,298,0,4
122,79,Undirected,299,0,2
126,45,Undirected,310,0,5
126,79,Undirected,311,0,7
129,45,Undirected,321,0,5
129,79,Undirected,322,0,11
129,113,Undirected,323,0,1
129,114,Undirected,324,0,1
