Id,Label,name,次数,Weighted Degree,Authority,Hub,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality,Eccentricity,Closeness Centrality,Betweenness Centrality,ave_view,ave_comment,ave_mylist,ave_starttime,ave_length
5256,5256,ゆっくり映画館,9,9,5.00E-04,5.00E-04,22,5.58E-04,0,1,36,0.05349245,3,2.410743802,0,11580,631,15,2010-11-23 20:21:45,695
2869,2869,デスなんとかさん,9,9,5.00E-04,5.00E-04,22,5.58E-04,0,1,36,0.05349245,3,2.410743802,0,11580,631,15,2010-11-23 20:21:45,695
5800,5800,妄想フルスロットル,9,9,5.00E-04,5.00E-04,0,5.81E-04,0,1,36,0.051740643,3,2.410743802,0,361228,33452,2629,2011-05-08 21:42:14,1390
3544,3544,大坂(ゆっくり実況者),9,9,5.00E-04,5.00E-04,0,5.81E-04,0,1,36,0.051740643,3,2.410743802,0,361228,33452,2629,2011-05-08 21:42:14,1390
6269,6269,相手も心臓は消耗品,9,9,5.00E-04,5.00E-04,0,5.81E-04,0,1,36,0.051740643,3,2.410743802,0,361228,33452,2629,2011-05-08 21:42:14,1390
467,467,DeadSpace,9,9,5.00E-04,5.00E-04,0,5.81E-04,0,1,36,0.051740643,3,2.410743802,0,361228,33452,2629,2011-05-08 21:42:14,1390
5779,5779,仲間シールド,9,9,5.00E-04,5.00E-04,22,5.58E-04,0,1,36,0.05349245,3,2.410743802,0,11580,631,15,2010-11-23 20:21:45,695
1437,1437,ゆっくりしていってね！！！,180,585,0.009042314,0.009042314,21,0.008104985,0,0.084357542,1359,0.359485976,3,1.854545455,37103.12996,18168.01325,537.2847682,279.6092715,2010-06-03 07:06:44,209.5165563
6251,6251,処刑用ＢＧＭ,9,9,5.00E-04,5.00E-04,22,5.58E-04,0,1,36,0.05349245,3,2.410743802,0,11580,631,15,2010-11-23 20:21:45,695
422,422,Death_House_the_Final_Nightmare,9,9,5.00E-04,5.00E-04,22,5.58E-04,0,1,36,0.05349245,3,2.410743802,0,11580,631,15,2010-11-23 20:21:45,695
3595,3595,ニコニコRPG,10,10,5.50E-04,5.50E-04,1,5.98E-04,0,1,45,0.016985389,3,2.82892562,0,3780,111,25,2008-11-24 17:53:30,556
2661,2661,Rollercoaster,10,10,5.50E-04,5.50E-04,4,5.98E-04,0,1,45,0.013657525,4,2.880991736,0,366,19,5,2011-07-21 00:56:29,280
5669,5669,犬丼帝国,9,9,5.00E-04,5.00E-04,15,5.89E-04,0,1,36,0.035276301,3,2.42892562,0,1563,47,21,2011-07-22 07:02:37,766
1784,1784,ＳＴＧプレイpart1リンク,9,9,5.00E-04,5.00E-04,15,5.89E-04,0,1,36,0.035276301,3,2.42892562,0,6357,145,35,2011-04-09 07:44:30,782
6165,6165,般若心経,9,9,5.00E-04,5.00E-04,15,5.89E-04,0,1,36,0.035276301,3,2.42892562,0,1563,47,21,2011-07-22 07:02:37,766
178,178,Hellsinker.,9,9,5.00E-04,5.00E-04,15,5.89E-04,0,1,36,0.035276301,3,2.42892562,0,1563,47,21,2011-07-22 07:02:37,766
5278,5278,リュウとモリガン,9,9,5.00E-04,5.00E-04,22,5.81E-04,0,1,36,0.051740643,3,2.410743802,0,15036,795,54,2010-11-17 00:56:52,1295
2892,2892,デス様,9,9,5.00E-04,5.00E-04,22,5.81E-04,0,1,36,0.051740643,3,2.410743802,0,15036,795,54,2010-11-17 00:56:52,1295
3534,3534,ハザードタイム,10,10,5.50E-04,5.50E-04,22,5.89E-04,0,1,45,0.057429203,3,2.383471074,0,38212,2240,122,2010-10-27 02:11:50,835
3511,3511,はるちは,9,9,5.00E-04,5.00E-04,11,5.77E-04,0,1,36,0.013906713,3,2.880165289,0,475,51,2,2012-07-08 11:55:20,200
3326,3326,ホワイトデー,10,10,5.50E-04,5.50E-04,4,5.39E-04,0,1,45,0.031681652,3,2.688429752,0,2383,273,28,2010-03-14 09:08:08,309
61,61,イカ,10,10,5.50E-04,5.50E-04,4,5.39E-04,0,1,45,0.031681652,3,2.688429752,0,1931,220.3333333,16.66666667,2012-09-11 16:24:50,728.6666667
4215,4215,ニコニコ終了のお知らせ,10,10,5.50E-04,5.50E-04,1,5.98E-04,0,1,45,0.016985389,3,2.82892562,0,3780,111,25,2008-11-24 17:53:30,556
