Id,Label,name,ave_view,ave_comment,ave_mylist,ave_starttime,end,ave_length,Points,training,modify_probability,Time Interval,Modularity Class
5715,5715,リアル幸運E,24284.0,796.0,65.0,2012/10/19 0:00,2015/10/20 0:00,1290.0,26029.80151,0,0.84085983,"<[1.3505724E12, 1.4452668E12]>",1
5176,5176,ランサーが死んだ..,29961.17566,804.3681747,251.0468552,2011/5/28 0:00,2015/10/20 0:00,754.931888,34510.3866,0,0.371366511,"<[1.3065084E12, 1.4452668E12]>",1
6199,6199,裸カソヂ?,24284.0,796.0,65.0,2012/10/19 0:00,2015/10/20 0:00,1290.0,26029.80151,0,0.84085983,"<[1.3505724E12, 1.4452668E12]>",1
2766,2766,X.こ?人でな?.,40457.3056,1390.156379,61.03665249,2011/5/23 0:00,2015/10/20 0:00,510.2185088,42716.89857,0,0.125167476,"<[1.3060764E12, 1.4452668E12]>",1
3431,3431,クトゥルフピザ,26970.0,471.0,58.0,2012/10/21 0:00,2015/10/20 0:00,721.0,28302.93276,0,0.081617843,"<[1.3507452E12, 1.4452668E12]>",1
253,253,bubudog,25627.0,633.5,61.5,2012/10/20 0:00,2015/10/20 0:00,1005.5,27167.75335,0,0.639481076,"<[1.3506588E12, 1.4452668E12]>",1
2711,2711,バトルロイヤル,2018.0,105.0,20.0,2011/5/6 0:00,2015/10/20 0:00,794.0,2417.855343,0,0.07751097,"<[1.3046076E12, 1.4452668E12]>",0
2005,2005,め?くり実況?レイpart??リンク,8825.25,174.25,108.25,2011/5/20 0:00,2015/10/20 0:00,980.5,10619.91624,0,0.259084624,"<[1.3058172E12, 1.4452668E12]>",0
6269,6269,相手も??は消耗品,361228.0,33452.0,2629.0,2011/5/9 0:00,2015/10/20 0:00,1390.0,431298.461,1,0.0,"<[1.3048668E12, 1.4452668E12]>",18
4717,4717,大?.最後?妃?,10209.87954,1104.496012,260.9891337,2011/7/1 0:00,2015/10/20 0:00,708.8747416,15123.82396,0,0.068924371,"<[1.309446E12, 1.4452668E12]>",18
3383,3383,ホラー実況?レイpart1リンク,104350.4,3960.2,1255.7,2011/9/19 0:00,2015/10/20 0:00,1012.6,127002.9612,1,0.0,"<[1.316358E12, 1.4452668E12]>",18
3385,3385,スナザメ,147683.0,6815.0,1766.0,2012/5/13 0:00,2015/10/20 0:00,980.0,180690.7836,1,0.0,"<[1.3368348E12, 1.4452668E12]>",18
1168,1168,Ib実況part1リンク,147683.0,6815.0,1766.0,2012/5/13 0:00,2015/10/20 0:00,980.0,180690.7836,1,0.0,"<[1.3368348E12, 1.4452668E12]>",18
5181,5181,三騎士物?,13887.0,864.0,61.0,2012/10/21 0:00,2015/10/20 0:00,1584.0,15615.60194,0,0.986668283,"<[1.3507452E12, 1.4452668E12]>",18
2027,2027,クラシヂ?D.amp.D,16738.99837,994.3120549,464.154615,2011/7/13 0:00,2015/10/20 0:00,873.8354914,24641.3003,0,0.681385604,"<[1.3104828E12, 1.4452668E12]>",18
5662,5662,金をかけるゲー?_,2018.0,105.0,20.0,2011/5/6 0:00,2015/10/20 0:00,794.0,2417.855343,0,0.07751097,"<[1.3046076E12, 1.4452668E12]>",0
1971,1971,スーパ?キノコブラザーズ,2018.0,105.0,20.0,2011/5/6 0:00,2015/10/20 0:00,794.0,2417.855343,0,0.07751097,"<[1.3046076E12, 1.4452668E12]>",0
6155,6155,非協力?レイ,2018.0,105.0,20.0,2011/5/6 0:00,2015/10/20 0:00,794.0,2417.855343,0,0.07751097,"<[1.3046076E12, 1.4452668E12]>",0
165,165,??????スーパ?マリオブラザーズ?????,2018.0,105.0,20.0,2011/5/6 0:00,2015/10/20 0:00,794.0,2417.855343,0,0.07751097,"<[1.3046076E12, 1.4452668E12]>",0
5283,5283,亀フェル,13117.0,466.0,33.0,2011/5/11 0:00,2015/10/20 0:00,404.0,14062.05141,0,0.122014653,"<[1.3050396E12, 1.4452668E12]>",18
3545,3545,ぬし?E?,13117.0,466.0,33.0,2011/5/11 0:00,2015/10/20 0:00,404.0,14062.05141,0,0.122014653,"<[1.3050396E12, 1.4452668E12]>",18
5278,5278,リュウとモリガン,15036.0,795.0,54.0,2010/11/17 0:00,2015/10/20 0:00,1295.0,16601.21246,0,0.970919724,"<[1.2899196E12, 1.4452668E12]>",18
1402,1402,アクションに定評?あるめ?くり,15036.0,795.0,54.0,2010/11/17 0:00,2015/10/20 0:00,1295.0,16601.21246,0,0.970919724,"<[1.2899196E12, 1.4452668E12]>",18
3218,3218,ばかす,18126.5,998.5,72.5,2010/12/30 0:00,2015/10/20 0:00,1326.25,20160.56604,0,0.970438257,"<[1.2936348E12, 1.4452668E12]>",18
